initiate_hardness,initiate_man_day,initiate_num_people,initiate_priority,maintain_man_day
10,100,58,2,805
6,62,37,2,504
8,79,42,1,625
7,72,41,2,574
10,103,55,1,789
6,61,40,3,516
4,44,23,1,327
4,43,26,2,347
9,90,51,2,722
6,62,34,1,481
5,52,34,3,433
1,13,15,3,136
1,11,9,1,109
5,49,33,2,429
1,11,14,3,137
4,38,23,1,331
3,34,25,3,290
10,99,54,1,788
10,99,55,2,792
3,33,25,3,290
6,61,35,1,491
6,60,38,3,507
7,71,40,2,567
2,21,18,2,208
10,104,61,3,823
2,22,18,2,204
6,63,33,1,480
3,33,24,3,284
7,73,45,3,587
6,59,33,1,479
6,62,35,2,494
4,43,28,3,351
9,88,56,3,742
7,74,41,2,565
1,14,12,2,122
5,49,34,3,432
9,88,50,2,712
5,50,30,1,419
7,71,40,1,561
3,29,21,2,274
8,78,45,2,635
5,52,27,1,403
1,8,7,1,103
9,90,48,1,707
3,31,19,1,260
1,13,11,2,124
10,98,59,3,809
5,54,33,3,427
3,29,26,3,297
9,89,53,3,733
5,54,36,3,441
4,42,31,3,369
7,71,39,1,556
4,43,22,1,328
2,23,17,2,204
8,82,50,3,660
7,68,39,1,560
5,51,29,1,409
8,81,46,2,641
8,81,45,2,644
8,81,48,3,653
1,8,10,1,119
2,18,19,3,208
5,53,34,3,440
9,89,55,3,740
5,53,35,3,443
10,100,58,3,803
3,34,20,2,270
6,63,38,3,502
10,104,60,3,820
9,93,50,1,720
4,39,31,3,375
1,13,13,2,134
10,100,52,1,770
1,14,15,3,142
8,79,46,2,644
7,71,43,2,581
2,18,21,3,223
6,63,34,1,483
2,19,20,3,210
3,34,21,2,271
9,89,55,3,735
10,101,54,1,780
4,38,31,3,374
10,104,58,2,804
9,91,51,2,720
7,74,42,2,576
9,94,53,2,726
3,30,20,1,270
5,51,33,2,428
9,91,48,1,702
5,54,33,2,430
4,40,27,2,350
4,44,28,3,355
7,73,43,2,580
9,88,48,1,706
1,11,13,3,135
1,12,16,3,145
4,43,30,3,364
9,88,51,2,716
6,58,41,3,516
6,58,38,3,509
10,101,55,1,787
8,80,47,2,652
1,9,14,3,137
6,64,35,2,487
8,81,50,3,665
3,34,20,2,265
10,98,58,2,804
8,80,47,2,645
7,71,43,2,576
9,89,50,1,714
5,52,29,1,412
9,88,53,3,725
10,103,53,1,775
6,60,38,3,506
4,42,27,2,353
4,44,24,1,338
4,43,31,3,367
4,38,25,1,335
7,69,37,1,551
8,82,46,2,642
5,52,33,2,429
6,62,32,1,476
4,41,27,2,345
6,59,40,3,511
2,23,17,2,197
10,100,61,3,823
8,84,45,1,640
9,93,55,3,744
4,40,26,2,341
3,29,26,3,292
8,84,43,1,634
6,58,41,3,518
10,103,55,1,788
7,70,40,2,564
2,22,19,3,214
7,70,46,3,592
4,41,25,1,338
2,18,19,3,213
7,74,40,2,562
9,88,52,2,720
10,104,55,1,791
9,93,54,3,731
7,71,46,3,595
4,40,24,1,335
5,48,33,3,434
7,68,38,1,560
9,90,50,2,717
5,52,34,3,431
8,78,45,1,635
10,104,60,3,812
9,88,53,3,728
5,49,34,3,430
9,91,51,2,716
8,78,50,3,669
1,13,10,1,116
5,48,36,3,444
8,83,45,2,638
2,22,13,1,185
8,83,46,2,640
2,18,13,1,184
2,21,14,1,187
1,8,13,3,131
10,103,58,2,809
6,59,36,2,496
8,82,43,1,631
9,89,50,1,710
8,84,49,3,661
4,43,28,3,356
3,34,21,2,267
10,100,55,2,789
9,92,49,1,707
8,83,42,1,626
4,38,28,3,359
2,22,16,2,199
9,89,56,3,746
5,51,31,2,419
6,60,35,2,494
2,18,14,1,180
1,9,12,2,121
10,100,53,1,781
3,30,23,2,282
3,29,21,2,271
7,68,43,2,582
10,103,61,3,820
3,30,20,1,262
1,10,10,1,112
9,90,53,2,732
4,43,25,1,345
6,64,36,2,492
9,93,48,1,709
6,64,34,1,490
2,23,21,3,225
9,93,53,3,733
9,89,56,3,749
8,79,49,3,661
3,32,24,3,290
10,103,55,1,792
10,101,55,1,795
3,28,21,2,265
1,9,14,3,134
10,98,56,2,800
5,52,33,3,426
7,73,44,3,587
1,14,16,3,150
7,72,39,1,563
5,53,36,3,446
2,23,19,3,214
1,14,15,3,144
2,18,15,1,185
6,61,41,3,517
6,59,37,2,499
9,89,49,1,713
9,89,47,1,702
10,101,58,3,802
1,11,9,1,114
3,34,17,1,252
6,61,40,3,517
1,8,16,3,143
2,23,13,1,182
6,58,32,1,478
2,24,13,1,176
1,14,10,2,112
9,88,56,3,748
5,54,29,1,410
6,59,40,3,520
5,50,33,2,432
9,94,48,1,707
5,54,33,3,433
5,54,27,1,395
9,94,53,3,735
3,28,23,3,284
4,42,22,1,322
9,94,49,1,713
1,12,15,3,138
8,80,43,1,630
1,8,14,3,140
3,28,21,2,267
9,89,50,2,717
6,58,36,2,492
3,30,20,2,261
1,12,13,2,135
8,79,48,2,658
4,38,22,1,328
3,31,20,2,260
1,13,10,2,112
8,82,50,3,662
2,23,19,3,205
2,18,15,1,195
6,62,36,2,495
9,91,48,1,708
10,102,60,3,813
7,71,43,3,577
8,79,48,2,658
9,88,48,1,709
6,63,38,2,500
9,90,56,3,741
10,101,60,3,813
8,83,49,3,663
2,18,17,2,198
7,72,38,1,556
2,21,12,1,175
6,58,35,1,490
7,71,41,2,569
1,8,10,1,114
7,73,43,3,582
1,13,10,2,110
10,98,54,1,780
3,29,26,3,294
8,84,51,3,674
1,13,13,3,134
3,28,18,1,259
1,14,10,2,111
6,63,39,3,515
1,11,14,3,138
6,60,39,3,508
2,23,15,2,190
4,42,24,1,335
10,100,58,3,810
3,32,20,2,263
4,40,31,3,370
3,32,26,3,299
1,10,16,3,149
7,73,42,2,578
5,52,30,2,418
8,82,44,1,640
7,69,43,2,579
10,98,58,3,805
5,48,31,2,424
9,90,51,2,715
1,9,10,2,111
10,100,55,2,792
1,14,8,1,106
2,24,20,3,218
5,50,30,2,418
4,40,24,1,339
4,44,23,1,329
4,43,22,1,324
5,49,30,2,412
7,72,38,1,559
10,99,55,1,795
7,73,37,1,553
3,33,21,2,273
10,104,52,1,772
1,10,7,1,100
6,58,41,3,518
6,64,32,1,473
8,82,46,2,645
6,62,37,2,497
6,59,35,2,493
10,100,54,1,789
6,58,33,1,479
8,84,51,3,669
3,30,20,2,265
2,20,18,3,200
10,104,58,3,807
4,43,23,1,332
10,100,58,3,807
7,69,44,3,588
5,54,32,2,429
1,12,16,3,149
7,71,43,2,579
6,59,39,3,515
7,71,38,1,558
1,13,13,3,129
9,94,48,1,700
5,51,31,2,417
7,68,40,1,567
2,24,20,3,215
1,9,11,2,125
7,72,44,3,588
4,44,29,3,358
10,102,55,2,789
8,84,48,3,657
9,92,54,3,733
10,104,58,3,804
10,100,58,3,802
1,11,7,1,101
8,83,51,3,666
7,68,45,3,586
8,81,42,1,623
10,101,54,1,783
9,94,53,2,726
9,91,54,3,730
4,42,25,2,341
2,18,13,1,182
4,38,28,2,356
6,63,34,1,480
1,9,15,3,136
2,24,15,2,192
9,90,50,1,715
3,34,20,2,264
2,19,17,2,202
3,31,25,3,292
10,98,54,1,782
1,8,8,1,102
6,63,38,3,501
8,82,43,1,632
4,43,24,1,337
6,63,38,3,509
1,13,7,1,98
9,89,55,3,738
2,23,15,2,192
8,80,45,2,641
1,8,10,1,113
9,91,55,3,739
7,70,42,2,578
10,102,61,3,820
9,94,55,3,741
1,13,11,2,122
10,103,59,3,807
1,13,10,2,113
10,99,53,1,776
5,49,35,3,445
10,103,56,2,790
9,91,50,1,718
9,94,54,3,733
10,99,60,3,816
8,79,46,2,642
10,98,53,1,776
3,34,26,3,293
5,50,29,1,405
4,40,31,3,365
1,14,10,2,115
3,31,22,2,270
7,69,40,1,565
9,90,49,1,706
1,9,12,2,123
4,42,24,1,333
4,44,23,1,329
5,54,29,1,410
7,70,40,2,570
2,20,19,3,214
8,78,47,2,655
4,42,28,3,354
2,20,12,1,180
2,20,18,2,208
2,18,12,1,178
8,79,50,3,662
1,11,10,2,111
5,52,36,3,443
4,44,25,1,338
2,21,20,3,218
9,91,54,3,740
6,58,37,2,498
8,81,51,3,669
7,70,45,3,593
6,58,33,1,475
5,48,33,3,432
5,53,36,3,440
5,54,27,1,404
1,9,13,3,133
2,20,13,1,177
8,84,47,2,648
6,59,41,3,520
9,89,47,1,701
9,88,54,3,740
6,64,37,2,503
7,72,40,2,564
5,48,34,3,439
7,72,40,1,570
4,38,29,3,357
2,24,14,1,190
3,28,25,3,292
3,34,24,3,284
7,73,39,1,561
1,13,10,1,114
8,79,45,2,644
7,71,44,3,587
3,33,25,3,294
4,41,25,2,343
5,53,33,3,425
3,30,20,2,270
4,42,28,2,352
1,14,12,2,128
1,12,11,2,124
10,98,54,1,785
2,24,14,1,185
10,102,61,3,819
2,24,17,2,204
1,8,7,1,101
1,8,13,2,127
4,43,22,1,321
1,10,9,1,108
8,82,45,2,641
8,79,49,3,664
8,82,45,2,639
5,49,30,1,416
10,99,52,1,775
6,61,33,1,485
4,42,27,2,346
5,51,33,2,433
9,92,51,2,719
4,41,23,1,328
5,51,33,3,434
9,90,53,3,728
10,102,56,2,794
3,31,20,1,260
4,38,27,2,351
9,91,50,2,716
3,34,26,3,293
9,94,56,3,746
8,79,50,3,662
10,100,55,1,788
1,10,12,2,127
2,19,13,1,176
9,94,51,2,716
8,84,51,3,672
7,70,43,3,582
3,33,26,3,299
9,89,55,3,737
9,94,50,1,720
3,33,19,1,259
6,58,33,1,484
7,74,37,1,549
8,79,50,3,661
9,89,53,2,729
5,48,27,1,396
8,81,49,3,663
3,32,20,1,266
4,38,27,2,349
5,54,31,2,418
8,79,49,3,655
5,51,33,3,432
6,61,34,1,483
5,49,34,3,431
1,12,15,3,144
3,29,18,1,250
4,38,30,3,362
5,48,30,1,418
7,74,45,3,590
5,52,27,1,404
10,99,58,3,804
7,73,38,1,554
7,70,43,3,576
8,81,45,1,638
1,9,15,3,145
5,53,28,1,401
10,102,56,2,796
7,69,38,1,551
9,89,53,3,733
6,64,39,3,515
5,48,36,3,450
5,54,28,1,406
2,22,18,3,206
2,23,14,1,184
6,58,40,3,510
1,8,7,1,103
7,71,40,1,567
4,42,28,3,357
6,62,35,2,494
10,102,58,3,800
6,64,34,1,482
1,13,13,3,132
6,61,39,3,510
7,70,42,2,574
8,82,48,3,658
2,24,20,3,212
6,59,32,1,471
3,29,17,1,249
6,59,34,1,484
4,39,22,1,327
6,61,37,2,504
8,81,44,1,638
9,89,50,2,711
5,54,27,1,399
10,99,56,2,796
1,11,11,2,120
7,74,38,1,552
8,84,48,3,654
4,42,26,2,349
3,33,20,1,261
5,54,32,2,421
8,79,43,1,632
6,59,40,3,518
4,43,29,3,365
4,40,27,2,350
5,48,33,3,428
6,61,38,2,503
8,84,45,2,638
8,81,49,3,663
5,51,33,3,431
5,50,31,2,423
3,32,20,1,266
7,74,41,2,568
4,38,25,2,339
3,31,24,3,285
2,23,21,3,219
3,30,20,2,261
5,51,28,1,408
8,82,42,1,624
1,14,10,2,111
10,103,57,2,799
6,64,41,3,522
2,22,16,2,190
6,60,40,3,515
6,58,32,1,474
7,73,37,1,553
4,41,29,3,357
10,98,52,1,771
8,78,48,2,655
4,42,23,1,335
7,73,45,3,595
8,81,42,1,621
2,22,15,2,188
2,18,13,1,185
8,83,46,2,644
2,19,17,2,196
4,38,25,1,339
2,23,14,1,181
7,68,40,2,562
2,19,15,1,193
2,21,13,1,183
3,28,19,1,260
6,59,36,2,493
9,94,54,3,737
1,12,10,2,112
5,49,35,3,440
6,59,38,3,505
8,82,45,2,641
8,83,50,3,662
6,58,40,3,510
6,60,36,2,493
7,69,41,2,572
1,8,13,3,129
5,52,30,2,413
9,93,53,2,727
8,82,43,1,627
9,93,48,1,702
5,52,28,1,403
9,92,51,2,717
4,40,23,1,331
8,84,45,2,639
3,34,25,3,288
10,100,52,1,771
10,104,58,2,808
2,21,15,1,193
10,103,56,2,795
4,41,27,2,347
3,31,22,2,272
1,13,15,3,143
10,103,59,3,807
9,89,47,1,700
4,44,25,2,343
2,22,12,1,179
6,58,37,2,495
1,13,10,2,120
1,12,8,1,100
7,73,46,3,595
6,64,40,3,513
8,82,44,1,640
5,48,27,1,399
6,64,33,1,483
4,39,28,2,351
7,74,42,2,570
2,20,13,1,175
3,29,22,2,279
2,19,15,1,190
2,22,13,1,175
8,78,47,2,652
1,12,11,2,122
9,92,52,2,726
2,18,16,2,200
10,99,55,1,794
10,102,58,2,801
6,64,36,2,491
6,63,32,1,472
1,13,11,2,116
2,21,19,3,212
9,90,56,3,747
6,60,34,1,482
7,72,46,3,597
9,90,53,2,733
10,104,57,2,805
3,31,20,2,263
7,68,39,1,565
7,70,43,2,578
1,14,16,3,141
6,58,40,3,514
10,102,55,1,789
1,8,13,2,128
1,10,16,3,142
1,11,8,1,107
2,24,16,2,193
4,44,28,3,352
1,10,9,1,107
9,94,51,2,721
8,80,47,2,650
3,32,26,3,299
1,12,16,3,149
4,42,27,2,352
8,79,46,2,640
3,34,20,1,265
7,69,43,3,577
8,80,48,3,653
8,79,46,2,645
3,29,19,1,260
7,71,43,2,585
7,74,43,2,582
5,50,31,2,419
1,9,8,1,101
3,30,24,3,280
3,28,20,2,263
8,82,48,3,655
2,20,12,1,173
8,83,49,3,658
9,91,51,2,718
6,62,35,2,486
7,74,37,1,547
4,41,25,2,337
6,61,35,1,495
8,83,43,1,632
4,44,22,1,328
9,93,56,3,743
5,54,27,1,405
1,9,8,1,108
10,102,53,1,778
2,22,17,2,204
5,50,27,1,397
1,11,11,2,125
8,79,50,3,663
10,103,58,3,806
3,28,21,2,273
4,44,25,1,337
6,62,37,2,495
5,54,34,3,433
5,48,32,2,421
5,52,36,3,441
8,79,48,2,658
10,98,55,2,790
3,30,18,1,259
7,73,43,2,579
2,22,15,1,193
9,92,50,2,719
7,68,42,2,574
4,40,31,3,367
8,81,46,2,640
6,61,37,2,495
7,71,43,2,581
1,8,7,1,105
6,61,38,2,507
8,82,42,1,625
1,10,14,3,138
9,94,50,1,717
6,63,38,3,504
8,84,42,1,622
8,82,43,1,629
5,48,29,1,405
5,54,29,1,415
8,81,50,3,664
1,11,16,3,150
6,62,36,2,492
10,100,53,1,781
3,31,20,2,269
4,41,28,2,358
4,38,24,1,338
5,52,28,1,407
5,49,30,1,416
7,73,42,2,579
1,9,8,1,105
1,11,11,2,119
8,78,51,3,670
